entrant_level,campus,fall_term,count_category,ethnicity,n
freshman,Berkeley,2019,applicants,Hispanic/Latino(a),15877
freshman,Berkeley,2020,applicants,Hispanic/Latino(a),15780
freshman,Berkeley,2021,applicants,Hispanic/Latino(a),21484
freshman,Berkeley,2022,applicants,Hispanic/Latino(a),25690
freshman,Berkeley,2023,applicants,Hispanic/Latino(a),25706
freshman,Berkeley,2024,applicants,Hispanic/Latino(a),25176
freshman,Berkeley,2025,applicants,Hispanic/Latino(a),25084
freshman,Berkeley,2017,applicants,Pacific Islander,222
freshman,Berkeley,2018,applicants,Pacific Islander,224
freshman,Berkeley,2019,applicants,Pacific Islander,203
freshman,Berkeley,2020,applicants,Pacific Islander,198
freshman,Berkeley,2021,applicants,Pacific Islander,274
freshman,Berkeley,2022,applicants,Pacific Islander,267
freshman,Berkeley,2023,applicants,Pacific Islander,282
freshman,Berkeley,2024,applicants,Pacific Islander,247
freshman,Berkeley,2025,applicants,Pacific Islander,280
freshman,Berkeley,2017,applicants,White,20053
freshman,Berkeley,2018,applicants,White,18911
freshman,Berkeley,2019,applicants,White,18013
freshman,Berkeley,2020,applicants,White,17440
freshman,Berkeley,2021,applicants,White,23198
freshman,Berkeley,2022,applicants,White,25181
freshman,Berkeley,2023,applicants,White,23944
freshman,Berkeley,2024,applicants,White,21980
freshman,Berkeley,2025,applicants,White,21690
freshman,Berkeley,2017,applicants,Unknown,2643
freshman,Berkeley,2018,applicants,Unknown,3046
freshman,Berkeley,2019,applicants,Unknown,2655
freshman,Berkeley,2020,applicants,Unknown,3006
freshman,Berkeley,2021,applicants,Unknown,3393
freshman,Berkeley,2022,applicants,Unknown,3577
freshman,Berkeley,2023,applicants,Unknown,3770
freshman,Berkeley,2024,applicants,Unknown,4847
freshman,Berkeley,2025,applicants,Unknown,5095
freshman,Berkeley,2017,applicants,International,15434
freshman,Berkeley,2018,applicants,International,17064
freshman,Berkeley,2019,applicants,International,17035
freshman,Berkeley,2020,applicants,International,17105
freshman,Berkeley,2021,applicants,International,20981
freshman,Berkeley,2022,applicants,International,23113
freshman,Berkeley,2023,applicants,International,21855
freshman,Berkeley,2024,applicants,International,22247
freshman,Berkeley,2025,applicants,International,23973
freshman,Berkeley,2017,admits,African American,493
freshman,Berkeley,2018,admits,African American,523
freshman,Berkeley,2019,admits,African American,508
freshman,Berkeley,2020,admits,African American,733
freshman,Berkeley,2021,admits,African American,850
freshman,Berkeley,2022,admits,African American,724
freshman,Berkeley,2023,admits,African American,708
freshman,Berkeley,2024,admits,African American,683
freshman,Berkeley,2025,admits,African American,685
freshman,Berkeley,2017,admits,American Indian,92
freshman,Berkeley,2018,admits,American Indian,52
freshman,Berkeley,2019,admits,American Indian,82
freshman,Berkeley,2020,admits,American Indian,72
freshman,Berkeley,2021,admits,American Indian,116
freshman,Berkeley,2022,admits,American Indian,100
freshman,Berkeley,2023,admits,American Indian,113
freshman,Berkeley,2024,admits,American Indian,110
freshman,Berkeley,2025,admits,American Indian,132
freshman,Berkeley,2017,admits,Asian,5868
freshman,Berkeley,2018,admits,Asian,5359
freshman,Berkeley,2019,admits,Asian,5952
freshman,Berkeley,2020,admits,Asian,6209
freshman,Berkeley,2021,admits,Asian,6069
freshman,Berkeley,2022,admits,Asian,5653
freshman,Berkeley,2023,admits,Asian,5638
freshman,Berkeley,2024,admits,Asian,5511
freshman,Berkeley,2025,admits,Asian,5705
freshman,Berkeley,2017,admits,Hispanic/Latino(a),2117
freshman,Berkeley,2018,admits,Hispanic/Latino(a),2083
freshman,Berkeley,2019,admits,Hispanic/Latino(a),2282
freshman,Berkeley,2020,admits,Hispanic/Latino(a),3369
freshman,Berkeley,2021,admits,Hispanic/Latino(a),3595
freshman,Berkeley,2022,admits,Hispanic/Latino(a),3261
freshman,Berkeley,2023,admits,Hispanic/Latino(a),3556
freshman,Berkeley,2024,admits,Hispanic/Latino(a),3009
freshman,Berkeley,2025,admits,Hispanic/Latino(a),2962
freshman,Berkeley,2017,admits,Pacific Islander,27
freshman,Berkeley,2018,admits,Pacific Islander,19
freshman,Berkeley,2019,admits,Pacific Islander,26
freshman,Berkeley,2020,admits,Pacific Islander,26
freshman,Berkeley,2021,admits,Pacific Islander,44
freshman,Berkeley,2022,admits,Pacific Islander,22
freshman,Berkeley,2023,admits,Pacific Islander,38
freshman,Berkeley,2024,admits,Pacific Islander,33
freshman,Berkeley,2025,admits,Pacific Islander,25
freshman,Berkeley,2017,admits,White,3947
freshman,Berkeley,2018,admits,White,3115
freshman,Berkeley,2019,admits,White,3223
freshman,Berkeley,2020,admits,White,2809
freshman,Berkeley,2021,admits,White,3265
freshman,Berkeley,2022,admits,White,2950
freshman,Berkeley,2023,admits,White,2828
freshman,Berkeley,2024,admits,White,2700
freshman,Berkeley,2025,admits,White,2607
freshman,Berkeley,2017,admits,Unknown,706
freshman,Berkeley,2018,admits,Unknown,697
freshman,Berkeley,2019,admits,Unknown,661
freshman,Berkeley,2020,admits,Unknown,705
freshman,Berkeley,2021,admits,Unknown,665
freshman,Berkeley,2022,admits,Unknown,558
freshman,Berkeley,2023,admits,Unknown,629
freshman,Berkeley,2024,admits,Unknown,858
freshman,Berkeley,2025,admits,Unknown,853
freshman,Berkeley,2017,admits,International,1299
freshman,Berkeley,2018,admits,International,1453
freshman,Berkeley,2019,admits,International,1543
freshman,Berkeley,2020,admits,International,1467
freshman,Berkeley,2021,admits,International,1691
freshman,Berkeley,2022,admits,International,1254
freshman,Berkeley,2023,admits,International,1167
freshman,Berkeley,2024,admits,International,735
freshman,Berkeley,2025,admits,International,1391
freshman,Berkeley,2017,enrollees,African American,186
freshman,Berkeley,2018,enrollees,African American,189
freshman,Berkeley,2019,enrollees,African American,178
freshman,Berkeley,2020,enrollees,African American,229
freshman,Berkeley,2021,enrollees,African American,258
freshman,Berkeley,2022,enrollees,African American,228
freshman,Berkeley,2023,enrollees,African American,244
freshman,Berkeley,2024,enrollees,African American,253
freshman,Berkeley,2025,enrollees,African American,265
freshman,Berkeley,2017,enrollees,American Indian,24
freshman,Berkeley,2018,enrollees,American Indian,20
freshman,Berkeley,2019,enrollees,American Indian,24
freshman,Berkeley,2020,enrollees,American Indian,17
freshman,Berkeley,2021,enrollees,American Indian,27
freshman,Berkeley,2023,enrollees,American Indian,24
freshman,Berkeley,2024,enrollees,American Indian,38
freshman,Berkeley,2025,enrollees,American Indian,50
freshman,Berkeley,2017,enrollees,Asian,2673
freshman,Berkeley,2018,enrollees,Asian,2492
freshman,Berkeley,2019,enrollees,Asian,2764
freshman,Berkeley,2020,enrollees,Asian,2528
freshman,Berkeley,2021,enrollees,Asian,2830
freshman,Berkeley,2022,enrollees,Asian,2888
freshman,Berkeley,2023,enrollees,Asian,2796
freshman,Berkeley,2024,enrollees,Asian,2736
freshman,Berkeley,2025,enrollees,Asian,2784
freshman,Berkeley,2017,enrollees,Hispanic/Latino(a),922
freshman,Berkeley,2018,enrollees,Hispanic/Latino(a),936
freshman,Berkeley,2019,enrollees,Hispanic/Latino(a),972
freshman,Berkeley,2020,enrollees,Hispanic/Latino(a),1308
freshman,Berkeley,2021,enrollees,Hispanic/Latino(a),1312
freshman,Berkeley,2022,enrollees,Hispanic/Latino(a),1335
freshman,Berkeley,2023,enrollees,Hispanic/Latino(a),1462
freshman,Berkeley,2024,enrollees,Hispanic/Latino(a),1318
freshman,Berkeley,2025,enrollees,Hispanic/Latino(a),1349
freshman,Berkeley,2017,enrollees,Pacific Islander,11
freshman,Berkeley,2018,enrollees,Pacific Islander,11
freshman,Berkeley,2019,enrollees,Pacific Islander,8
freshman,Berkeley,2020,enrollees,Pacific Islander,12
freshman,Berkeley,2021,enrollees,Pacific Islander,17
freshman,Berkeley,2023,enrollees,Pacific Islander,19
freshman,Berkeley,2024,enrollees,Pacific Islander,11
freshman,Berkeley,2025,enrollees,Pacific Islander,14
freshman,Berkeley,2017,enrollees,White,1565
freshman,Berkeley,2018,enrollees,White,1277
freshman,Berkeley,2019,enrollees,White,1359
freshman,Berkeley,2020,enrollees,White,1045
freshman,Berkeley,2021,enrollees,White,1314
freshman,Berkeley,2022,enrollees,White,1326
freshman,Berkeley,2023,enrollees,White,1196
freshman,Berkeley,2024,enrollees,White,1152
freshman,Berkeley,2025,enrollees,White,1112
freshman,Berkeley,2017,enrollees,Unknown,301
freshman,Berkeley,2018,enrollees,Unknown,288
freshman,Berkeley,2019,enrollees,Unknown,301
freshman,Berkeley,2020,enrollees,Unknown,258
freshman,Berkeley,2021,enrollees,Unknown,277
freshman,Berkeley,2022,enrollees,Unknown,233
freshman,Berkeley,2023,enrollees,Unknown,285
freshman,Berkeley,2024,enrollees,Unknown,382
freshman,Berkeley,2025,enrollees,Unknown,349
freshman,Berkeley,2017,enrollees,International,697
freshman,Berkeley,2018,enrollees,International,799
freshman,Berkeley,2019,enrollees,International,848
freshman,Berkeley,2020,enrollees,International,720
freshman,Berkeley,2021,enrollees,International,896
freshman,Berkeley,2022,enrollees,International,674
freshman,Berkeley,2023,enrollees,International,615
freshman,Berkeley,2024,enrollees,International,382
freshman,Berkeley,2025,enrollees,International,765
freshman,Davis,2017,applicants,African American,3240
freshman,Davis,2018,applicants,African American,3535
freshman,Davis,2019,applicants,African American,3425
freshman,Davis,2020,applicants,African American,3347
freshman,Davis,2021,applicants,African American,4308
freshman,Davis,2022,applicants,African American,4531
freshman,Davis,2023,applicants,African American,4405
freshman,Davis,2024,applicants,African American,4718
freshman,Davis,2025,applicants,African American,4774
freshman,Davis,2017,applicants,American Indian,332
freshman,Davis,2018,applicants,American Indian,334
freshman,Davis,2019,applicants,American Indian,277
freshman,Davis,2020,applicants,American Indian,256
freshman,Davis,2021,applicants,American Indian,288
freshman,Davis,2022,applicants,American Indian,423
freshman,Davis,2023,applicants,American Indian,472
freshman,Davis,2024,applicants,American Indian,523
freshman,Davis,2025,applicants,American Indian,491
freshman,Davis,2017,applicants,Asian,21039
freshman,Davis,2018,applicants,Asian,23661
freshman,Davis,2019,applicants,Asian,23804
freshman,Davis,2020,applicants,Asian,24136
freshman,Davis,2021,applicants,Asian,27350
freshman,Davis,2022,applicants,Asian,31064
freshman,Davis,2023,applicants,Asian,31732
freshman,Davis,2024,applicants,Asian,33192
freshman,Davis,2025,applicants,Asian,34183
freshman,Davis,2017,applicants,Hispanic/Latino(a),15972
freshman,Davis,2018,applicants,Hispanic/Latino(a),17741
freshman,Davis,2019,applicants,Hispanic/Latino(a),17526
freshman,Davis,2020,applicants,Hispanic/Latino(a),17206
freshman,Davis,2021,applicants,Hispanic/Latino(a),19543
freshman,Davis,2022,applicants,Hispanic/Latino(a),20586
freshman,Davis,2023,applicants,Hispanic/Latino(a),20530
freshman,Davis,2024,applicants,Hispanic/Latino(a),21546
freshman,Davis,2025,applicants,Hispanic/Latino(a),22248
freshman,Davis,2017,applicants,Pacific Islander,223
