county,fall_term,applicants,admits,enrollees,admit_rate,yield_rate
San Mateo,2013,1858.0,1226.0,597.0,0.6598493003229279,0.48694942903752036
San Mateo,2014,1919.0,1277.0,656.0,0.6654507556018759,0.5137039937353172
San Mateo,2015,1884.0,1196.0,611.0,0.6348195329087049,0.5108695652173914
San Mateo,2016,1921.0,1436.0,733.0,0.7475273295158772,0.5104456824512534
San Mateo,2017,2122.0,1358.0,691.0,0.6399622997172478,0.5088365243004418
San Mateo,2018,2426.0,1476.0,773.0,0.6084089035449299,0.5237127371273713
San Mateo,2019,2247.0,1424.0,722.0,0.6337338673787272,0.5070224719101124
San Mateo,2020,2220.0,1651.0,827.0,0.7436936936936936,0.500908540278619
San Mateo,2021,2626.0,1669.0,793.0,0.6355674028941356,0.4751348112642301
San Mateo,2022,2815.0,1840.0,893.0,0.6536412078152753,0.48532608695652174
San Mateo,2023,2685.0,1874.0,799.0,0.697951582867784,0.4263607257203842
San Mateo,2024,2807.0,1994.0,948.0,0.7103669397933737,0.4754262788365095
San Mateo,2025,2701.0,2088.0,861.0,0.7730470196223621,0.41235632183908044
Santa Clara,2005,4096.0,3743.0,2199.0,0.913818359375,0.5874966604328079
Santa Clara,2006,4440.0,4081.0,2447.0,0.9191441441441441,0.5996079392305808
Santa Clara,2007,4612.0,4238.0,2385.0,0.9189071986123157,0.5627654554034922
Santa Clara,2008,4805.0,4387.0,2422.0,0.9130072840790843,0.5520857077729656
Santa Clara,2009,4851.0,4401.0,2246.0,0.9072356215213359,0.5103385594183141
Santa Clara,2010,5060.0,4577.0,2275.0,0.9045454545454545,0.4970504697400044
Santa Clara,2011,4901.0,4005.0,2086.0,0.8171801673127933,0.5208489388264669
Santa Clara,2012,5580.0,4311.0,2217.0,0.7725806451612903,0.5142658315935977
Santa Clara,2013,5750.0,4091.0,1993.0,0.7114782608695652,0.48716695184551456
Santa Clara,2014,6101.0,4301.0,2187.0,0.7049663989509917,0.508486398511974
Santa Clara,2015,6371.0,4266.0,2038.0,0.6695966096374195,0.47773089545241443
Santa Clara,2016,6449.0,4895.0,2488.0,0.7590324081252907,0.508273748723187
Santa Clara,2017,6696.0,4643.0,2289.0,0.6933990442054958,0.4930002153779884
Santa Clara,2018,7496.0,4975.0,2427.0,0.6636872998932765,0.4878391959798995
Santa Clara,2019,7253.0,4784.0,2301.0,0.6595891355301254,0.48097826086956524
Santa Clara,2020,7404.0,5793.0,2754.0,0.7824149108589952,0.4754013464526152
Santa Clara,2021,8246.0,5723.0,2516.0,0.6940334707737085,0.4396295649135069
Santa Clara,2022,8266.0,5745.0,2665.0,0.6950157270747641,0.463881636205396
Santa Clara,2023,8137.0,6031.0,2604.0,0.7411822539019295,0.4317691925053888
Santa Clara,2024,7902.0,5877.0,2544.0,0.7437357630979499,0.4328739152628892
Santa Clara,2025,7733.0,6269.0,2500.0,0.8106814948920212,0.39878768543627374
Solano,2005,507.0,428.0,234.0,0.8441814595660749,0.5467289719626168
Solano,2006,533.0,453.0,270.0,0.849906191369606,0.5960264900662252
Solano,2007,575.0,503.0,276.0,0.8747826086956522,0.5487077534791253
Solano,2008,563.0,471.0,248.0,0.8365896980461812,0.5265392781316348
Solano,2009,602.0,520.0,284.0,0.8637873754152824,0.5461538461538461
